# 20-shell model evolved to new time with shell-mass conservation
# t0_days = 2.3148148148148149e-04
# t_days  = 6.0000000000000000e+01
# Shell masses: m_i = (Menc_out - Menc_in) * Msun
# Boundary evolution: r_out uses v_out; r_in uses previous shell v_out (continuous boundaries)
# rho(t) = m_i / [4/3 pi (r_out^3 - r_in^3)]
# Columns:	shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
1	1.21295454e+15	2.33980427e+08	1.83268774e-14	1.04363398e-01	8.95475765e-01	1.60837096e-04	6.88956207e-02
2	1.63019620e+15	3.14466858e+08	1.28370950e-14	8.67476291e-03	9.43724862e-01	4.76003750e-02	1.37791241e-01
3	1.98404326e+15	3.82724413e+08	9.40428919e-15	4.94490798e-04	7.03911096e-01	2.95594413e-01	2.06686862e-01
4	2.27714908e+15	4.39264888e+08	8.18068499e-15	1.52837734e-04	4.40958377e-01	5.58888785e-01	2.75582483e-01
5	2.58413826e+15	4.98483500e+08	6.00286008e-15	4.66691199e-05	2.87321921e-01	7.12631410e-01	3.44478103e-01
6	2.85654572e+15	5.51031237e+08	5.40346113e-15	1.17467197e-03	1.98312582e-01	8.00512746e-01	4.13373724e-01
7	3.16358983e+15	6.10260449e+08	3.91535423e-15	1.17596700e-02	1.45564891e-01	8.42675439e-01	4.82269345e-01
8	3.45901271e+15	6.67247893e+08	3.36334418e-15	2.02931528e-02	1.14847287e-01	8.64859560e-01	5.51164965e-01
9	3.76402536e+15	7.26085218e+08	2.73870376e-15	2.56619055e-02	9.68007067e-02	8.77537388e-01	6.20060586e-01
10	4.09321203e+15	7.89585752e+08	2.14449370e-15	2.96611428e-02	8.62230910e-02	8.84115766e-01	6.88956207e-01
11	4.44985663e+15	8.58382965e+08	1.67434565e-15	4.39272657e-02	7.83132191e-02	8.77759515e-01	7.57851827e-01
12	4.80075615e+15	9.26071933e+08	1.45153919e-15	1.56300180e-02	1.00946721e-01	8.83423261e-01	8.26747448e-01
13	5.12478374e+15	9.88577257e+08	1.36557722e-15	1.93794986e-03	3.43642325e-01	6.54419725e-01	8.95643069e-01
14	5.48565062e+15	1.05818894e+09	1.07295130e-15	1.61958834e-03	7.86577198e-01	2.11803213e-01	9.64538689e-01
15	5.91351541e+15	1.14072461e+09	7.83978548e-16	1.19117578e-03	9.57728038e-01	4.10807861e-02	1.03343431e+00
16	6.40869146e+15	1.23624470e+09	5.79682833e-16	1.76491836e-02	9.77126652e-01	5.22416422e-03	1.10232993e+00
17	6.93175288e+15	1.33714392e+09	4.68214664e-16	3.10379521e-01	6.89620479e-01	0.00000000e+00	1.17122555e+00
18	7.38001347e+15	1.42361395e+09	4.74790220e-16	7.23380126e-01	2.76619874e-01	0.00000000e+00	1.24012117e+00
19	7.85056655e+15	1.51438423e+09	3.99375224e-16	8.77752510e-01	1.22247490e-01	0.00000000e+00	1.30901679e+00
20	1.25349092e+16	2.41800000e+09	2.20136951e-17	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37791241e+00
